"","observer_id","street_segment","no_of_graffiti","bars","liquor_stores","night_shops","night_clubs","restaurants","shops","hotels_or_hostels","offices","public_parking_lots","bus_or_tram_stops","schools","residences","surveillance_cameras","police_station","trees_along_street","public_seating","flower_beds","public_restrooms"
"120",17,"140980","20","0","0","0","0","0","0","0","0","0","0","1","6","2","0","6","2","1","0"
"121",17,"140864","2","0","0","0","0","0","0","0","2","0","0","0","2","2","0","3","0","0","0"
"122",17,"141024","33","0","0","0","0","0","1","0","0","0","0","0","4","1","0","0","0","0","0"
"123",17,"140928","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","0"
"124",17,"141000","30","0","0","0","0","0","0","0","1","0","0","0","38","1","0","0","0","0","0"
"125",17,"141118","0","0","0","0","0","0","1","0","0","0","0","0","5","1","0","0","0","0","0"
"126",17,"140927","6","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"127",17,"140959","51","0","0","0","0","0","0","0","0","0","0","0","37","0","0","0","0","0","0"
"128",70,"358740","7","0","0","0","0","2","1","0","1","0","0","2","7","0","0","0","0","0","0"
"129",70,"359299","11","1","0","0","0","1","1","0","0","0","1","1","4","1","0","5","1","2","0"
"130",70,"145396","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0"
"131",70,"145234","6","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0"
"132",70,"145411","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0"
"133",70,"358805","5","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0"
"134",70,"145460","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0"
"135",70,"145261","11","0","0","0","0","0","1","0","0","1","2","0","1","0","0","1","0","0","0"
"136",70,"145424","5","0","0","0","0","0","2","0","2","0","0","0","21","0","0","0","0","0","0"
"137",70,"21591","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"138",70,"530180","3","2","0","0","0","0","4","0","0","0","0","0","3","0","0","1","0","1","0"
"139",70,"140656","1","0","0","0","0","0","1","0","0","0","0","0","3","1","0","0","0","1","0"
"140",70,"140657","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"141",70,"140658","3","0","0","0","0","0","0","0","0","0","0","0","7","2","0","0","0","0","0"
